24;0;0;74;0;0;0;0;1;
34;0;0;0;0;0;1;0;0;
34;0;0;0;0;0;1;0;0;
32;3;0;0;3;30;0;42;0;
24;0;0;74;0;0;0;0;1;
36;18;164;52;198;0;0;0;0;
34;0;0;0;0;0;1;0;0;
32;3;0;0;3;30;0;42;0;
24;0;0;78;0;0;0;0;1;
34;0;0;0;0;0;1;0;0;
24;0;0;86;0;0;0;0;1;
34;0;0;0;0;0;1;0;0;
400;96;32;0;0;4;0;0;80;
32;3;0;0;3;30;0;42;0;
24;0;0;90;0;0;0;0;1;
36;18;164;52;198;0;0;0;0;
34;0;0;0;0;0;1;0;0;
528;0;0;0;0;0;0;0;0;
32;3;0;0;3;30;0;42;0;
24;0;0;94;0;0;0;0;1;
36;18;164;52;198;0;0;0;0;
576;129;136;208;0;0;168;185;0;
32;3;0;0;3;30;0;42;0;
24;0;0;66;0;0;0;0;1;
34;0;0;0;0;0;1;0;0;
768;96;3;129;0;175;239;5;0;
24;0;0;70;0;0;0;0;1;
34;0;0;0;0;0;1;0;0;
32;3;0;0;3;30;0;42;0;
34;0;0;0;0;0;1;0;0;
32;3;0;0;3;30;0;42;0;
24;0;0;82;0;0;0;0;1;
36;18;164;52;198;0;0;0;0;
34;0;0;0;0;0;1;0;0;
32;3;0;0;3;30;0;42;0;
24;0;0;86;0;0;0;0;1;
34;0;0;0;0;0;1;0;0;
24;0;0;94;0;0;0;0;1;
34;0;0;0;0;0;1;0;0;
32;3;0;0;3;30;0;42;0;
576;161;136;208;0;0;168;180;0;
32;3;0;0;3;30;0;42;0;
24;0;0;74;0;0;0;0;1;
34;0;0;0;0;0;1;0;0;
32;3;0;0;3;30;0;42;0;
34;0;0;0;0;0;1;0;0;
36;18;164;52;198;0;0;0;0;
34;0;0;0;0;0;1;0;0;
32;3;0;0;3;30;0;42;0;
24;0;0;90;0;0;0;0;1;
128;0;8;130;17;0;6;59;200;
34;0;0;0;0;0;1;0;0;
32;3;0;0;3;30;0;42;0;
34;0;0;0;0;0;1;0;0;
32;3;0;0;3;30;0;42;0;
24;0;0;70;0;0;0;0;1;
36;18;164;52;198;0;0;0;0;
34;0;0;0;0;0;1;0;0;
32;3;0;0;3;30;0;42;0;
24;0;0;74;0;0;0;0;1;
128;0;8;130;17;0;5;246;200;
34;0;0;0;0;0;1;0;0;
528;0;0;0;0;0;0;0;0;
